name,specialization,hospital,phone_number,location,consultation_fee,wait_time,city,category
Prof. Dr. Umber Jalil Bakhtiar,Gynecologist,"Quaid-E-Azam International Hospital, Main Peshawar Road, Islamabad",N/A,Islamabad,"Rs. 2,000",Available from Mar 02,Islamabad,Gynecologist
Prof. Dr. Ghazala Sadiq,Gynecologist,"Quaid-E-Azam International Hospital, Main Peshawar Road, Islamabad",N/A,Islamabad,"Rs. 3,500",Available from Mar 02,Islamabad,Gynecologist
Dr. Ghazala Bashir,Gynecologist,"Hashmi Medical & ICSI Centre, G-11 Markaz, Islamabad",N/A,Islamabad,"Rs. 3,000",Available Today,Islamabad,Gynecologist
Dr. Maria Athar,Gynecologist,"Quick Booking, Zero Waiting",N/A,Islamabad,"Rs. 1,000",Available Today,Islamabad,Gynecologist
Dr. Samina Arshad,Gynecologist,"Maxhealth Hospital, 12-K Markaz Rd, G-8, Islamabad",N/A,Islamabad,"Rs. 3,000",Available from Mar 02,Islamabad,Gynecologist
Dr. Fakhira Shafique,Gynecologist,"Advanced Medicare Center, Lehtrar Road, Islamabad",N/A,Islamabad,"Rs. 1,000",Available Today,Islamabad,Gynecologist
Dr. Anita Roshan,Gynecologist,"Jeejal Maa Hospital, Qasimabad, Hyderabad",N/A,Islamabad,"Rs. 1,500",Available from Mar 02,Islamabad,Gynecologist
Dr. Mahwish Choudhry,Gynecologist,"Quick Booking, Zero Waiting",N/A,Islamabad,Rs. 700,Available Today,Islamabad,Gynecologist
Dr. Memoona Munawar,"Obstetrician, Gynecologist","Islamabad Medical And Surgical Hospital, G-6 Markaz Block 4, Islamabad",N/A,Islamabad,"Rs. 1,000",Available from Mar 02,Islamabad,Gynecologist
Dr. Sana Maryam,Gynecologist,"Noor General Hospital, G-11 Markaz, Islamabad",N/A,Islamabad,"Rs. 2,500",Available Today,Islamabad,Gynecologist
Dr. Nimrah Siddique,Gynecologist,"Jinnah Memorial Hospital, Cantt, Rawalpindi",N/A,Islamabad,"Rs. 2,000",Available Today,Islamabad,Gynecologist
Dr. Sadia Kashif,"Gynecologist, Obstetrician","NESCOM Hospital, H-11, Islamabad",N/A,Islamabad,"Rs. 1,500",Available Today,Islamabad,Gynecologist
